
******************************************
               Running on cuda:0 
******************************************
Regulariser          :         2-norm , 0.1
Dataset              :              Covtype
Data size            :         (581012, 54)
No. Samples          :               581012
Dimensions           :                  378
x0                   :              uniform
Algorithm            :     FaithfulNewtonCR
..............................................................................................................................
     ite     |    inite    |    dtype    |    orcs     |    time     |      f      |   g_norm    |    alpha    |     acc     
     583     |      5      |     UNF     |    30064    |    77.54    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     584     |      5      |     UNF     |    30109    |    77.66    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     585     |      5      |     UNF     |    30154    |    77.78    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     586     |      5      |     UNF     |    30199    |    77.89    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     587     |      5      |     UNF     |    30244    |    78.01    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     588     |      5      |     UNF     |    30289    |    78.13    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     589     |      5      |     UNF     |    30334    |    78.24    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     590     |      5      |     UNF     |    30379    |    78.36    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     591     |      5      |     UNF     |    30424    |    78.48    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     592     |      5      |     UNF     |    30469    |    78.59    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     593     |      5      |     UNF     |    30514    |    78.71    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     594     |      5      |     UNF     |    30559    |    78.83    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     595     |      5      |     UNF     |    30604    |    78.95    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     596     |      5      |     UNF     |    30649    |    79.06    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     597     |      5      |     UNF     |    30694    |    79.18    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     598     |      5      |     UNF     |    30739    |    79.30    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     599     |      5      |     UNF     |    30784    |    79.41    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     600     |      5      |     UNF     |    30829    |    79.53    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     601     |      5      |     UNF     |    30874    |    79.65    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     602     |      5      |     UNF     |    30919    |    79.76    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     603     |      5      |     UNF     |    30964    |    79.88    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     604     |      5      |     UNF     |    31009    |    80.00    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     605     |      5      |     UNF     |    31054    |    80.11    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     606     |      5      |     UNF     |    31099    |    80.23    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     607     |      5      |     UNF     |    31144    |    80.35    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     608     |      5      |     UNF     |    31189    |    80.46    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     609     |      5      |     UNF     |    31234    |    80.58    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     610     |      5      |     UNF     |    31279    |    80.70    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     611     |      5      |     UNF     |    31324    |    80.82    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     612     |      5      |     UNF     |    31369    |    80.93    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     613     |      5      |     UNF     |    31414    |    81.05    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     614     |      5      |     UNF     |    31459    |    81.17    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     615     |      5      |     UNF     |    31504    |    81.28    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     616     |      5      |     UNF     |    31549    |    81.40    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     617     |      5      |     UNF     |    31594    |    81.52    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     618     |      5      |     UNF     |    31639    |    81.63    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     619     |      5      |     UNF     |    31684    |    81.75    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     620     |      5      |     UNF     |    31729    |    81.87    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     621     |      5      |     UNF     |    31774    |    81.98    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     622     |      5      |     UNF     |    31819    |    82.10    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     623     |      5      |     UNF     |    31864    |    82.22    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     624     |      5      |     UNF     |    31909    |    82.33    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     625     |      5      |     UNF     |    31954    |    82.45    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     626     |      5      |     UNF     |    31999    |    82.57    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     627     |      5      |     UNF     |    32044    |    82.69    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     628     |      5      |     UNF     |    32089    |    82.80    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     629     |      5      |     UNF     |    32134    |    82.92    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     630     |      5      |     UNF     |    32179    |    83.04    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     631     |      5      |     UNF     |    32224    |    83.15    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     632     |      5      |     UNF     |    32269    |    83.27    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     633     |      5      |     UNF     |    32314    |    83.39    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     634     |      5      |     UNF     |    32359    |    83.50    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     635     |      5      |     UNF     |    32404    |    83.62    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     636     |      5      |     UNF     |    32449    |    83.74    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     637     |      5      |     UNF     |    32494    |    83.85    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     638     |      5      |     UNF     |    32539    |    83.97    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     639     |      5      |     UNF     |    32584    |    84.09    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     640     |      5      |     UNF     |    32629    |    84.20    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     641     |      5      |     UNF     |    32674    |    84.32    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     642     |      5      |     UNF     |    32719    |    84.44    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     643     |      5      |     UNF     |    32764    |    84.56    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     644     |      5      |     UNF     |    32809    |    84.67    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     645     |      5      |     UNF     |    32854    |    84.79    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     646     |      5      |     UNF     |    32899    |    84.91    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     647     |      5      |     UNF     |    32944    |    85.02    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     648     |      5      |     UNF     |    32989    |    85.14    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     649     |      5      |     UNF     |    33034    |    85.26    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     650     |      5      |     UNF     |    33079    |    85.37    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     651     |      5      |     UNF     |    33124    |    85.49    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     652     |      5      |     UNF     |    33169    |    85.61    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     653     |      5      |     UNF     |    33214    |    85.72    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     654     |      5      |     UNF     |    33259    |    85.84    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     655     |      5      |     UNF     |    33304    |    85.96    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     656     |      5      |     UNF     |    33349    |    86.07    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     657     |      5      |     UNF     |    33394    |    86.19    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     658     |      5      |     UNF     |    33439    |    86.31    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     659     |      5      |     UNF     |    33484    |    86.42    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     660     |      5      |     UNF     |    33529    |    86.54    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     661     |      5      |     UNF     |    33574    |    86.66    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     662     |      5      |     UNF     |    33619    |    86.78    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     663     |      5      |     UNF     |    33664    |    86.89    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     664     |      5      |     UNF     |    33709    |    87.01    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     665     |      5      |     UNF     |    33754    |    87.13    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     666     |      5      |     UNF     |    33799    |    87.24    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     667     |      5      |     UNF     |    33844    |    87.36    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     668     |      5      |     UNF     |    33889    |    87.48    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     669     |      5      |     UNF     |    33934    |    87.59    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     670     |      5      |     UNF     |    33979    |    87.71    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     671     |      5      |     UNF     |    34024    |    87.83    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     672     |      5      |     UNF     |    34069    |    87.94    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     673     |      5      |     UNF     |    34114    |    88.06    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     674     |      5      |     UNF     |    34159    |    88.18    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     675     |      5      |     UNF     |    34204    |    88.30    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     676     |      5      |     UNF     |    34249    |    88.41    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     677     |      5      |     UNF     |    34294    |    88.53    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     678     |      5      |     UNF     |    34339    |    88.65    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     679     |      5      |     UNF     |    34384    |    88.76    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     680     |      5      |     UNF     |    34429    |    88.88    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     681     |      5      |     UNF     |    34474    |    89.00    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     682     |      5      |     UNF     |    34519    |    89.11    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     683     |      5      |     UNF     |    34564    |    89.23    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     684     |      5      |     UNF     |    34609    |    89.35    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     685     |      5      |     UNF     |    34654    |    89.46    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     686     |      5      |     UNF     |    34699    |    89.58    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     687     |      5      |     UNF     |    34744    |    89.70    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     688     |      5      |     UNF     |    34789    |    89.81    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     689     |      5      |     UNF     |    34834    |    89.93    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     690     |      5      |     UNF     |    34879    |    90.05    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     691     |      5      |     UNF     |    34924    |    90.17    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     692     |      5      |     UNF     |    34969    |    90.28    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     693     |      5      |     UNF     |    35014    |    90.40    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     694     |      5      |     UNF     |    35059    |    90.52    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     695     |      5      |     UNF     |    35104    |    90.63    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     696     |      5      |     UNF     |    35149    |    90.75    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     697     |      5      |     UNF     |    35194    |    90.87    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     698     |      5      |     UNF     |    35239    |    90.98    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     699     |      5      |     UNF     |    35284    |    91.10    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     700     |      5      |     UNF     |    35329    |    91.22    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     701     |      5      |     UNF     |    35374    |    91.33    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     702     |      5      |     UNF     |    35419    |    91.45    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     703     |      5      |     UNF     |    35464    |    91.57    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     704     |      5      |     UNF     |    35509    |    91.69    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     705     |      5      |     UNF     |    35554    |    91.80    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     706     |      5      |     UNF     |    35599    |    91.92    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     707     |      5      |     UNF     |    35644    |    92.04    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     708     |      5      |     UNF     |    35689    |    92.15    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     709     |      5      |     UNF     |    35734    |    92.27    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     710     |      5      |     UNF     |    35779    |    92.39    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
